Description,Key,org
2624,640,16
2624,679,16
2624,1345,18
2624,1601,40
2624,1838,28
2624,2020,40
2624,2418,18
2624,2598,17.89361702
2624,3176,40
2624,3894,17.89361702
2624,3915,17.89361702
2624,4248,18
2624,4624,18
2624,4703,17.89361702
2624,4864,17.89361702
2624,5208,18
2624,6263,15
2624,6438,18
2624,6759,17.89361702
2624,6769,28
2624,7235,16
2624,7409,40
2624,7683,16
2624,7741,18
2624,7954,17.89361702
2624,8019,18
2624,8107,17.89361702
2624,8395,18
2624,8452,17.89361702
2624,8652,4.95
2624,9001,18
2624,9438,40
2624,10058,17.89361702
2624,10280,18
2624,10661,18
2624,10971,4.95
2624,11043,40
2624,11209,18
2624,11225,18
2624,11613,4.95
2624,11787,16
2624,11821,28
2624,11910,18
2624,12278,18
2624,12388,18
2624,12389,18
2624,13127,16
2624,13216,5
2624,13658,17.89361702
2624,14730,28
2624,15183,17.89361702
2624,15624,17.89361702
2624,16058,18
2624,16070,17.89361702
2624,16203,18
2624,16330,8142.75
2624,16393,18
2624,16396,10
2624,17068,16
2624,17331,18
2624,17366,18
2624,17502,28
2624,17594,18
2624,18102,17.89361702
2624,18240,18
2624,18468,18
2624,18726,18
2624,18767,18
2624,19202,18
2624,19283,16
2624,19588,18
2624,19722,18
2624,20050,18
2624,20146,4.95
2624,20337,36
2624,20355,1
2624,20464,18
2624,20561,40
2624,20981,18
2624,21079,18
2624,21918,15
2624,22051,15
2624,22468,17.89361702
2624,22502,28
2624,22613,28
2624,22659,17.89361702
2624,23341,16
2624,23635,18
2624,23647,18
2624,24564,17.89361702
2624,24586,5
2624,24729,18
2624,24856,28
2624,24978,18
2624,25259,18
2624,25684,18
2624,25749,40
2624,26097,15
2624,26119,17.89361702
2624,26478,17.89361702
2624,26782,15
2624,27220,18
2624,27233,5
2624,27837,18
2624,29649,17.89361702
2624,30187,17.89361702
2624,30393,18
2624,30507,16
2624,30547,18
2624,30869,17.89361702
2624,30916,18
2624,31030,18
2624,31194,4
2624,31443,16
2624,32583,18
2624,33258,18
2624,33277,200
2624,33642,18
2624,34082,18
2624,34095,18
2624,34233,40
2624,34502,18
2624,34558,18
2624,34908,40
2624,35476,40
2624,35485,18
2624,35584,28
2624,35596,18
2624,36552,18
2624,37292,16
2624,37859,17.89361702
2624,38084,18
2624,38133,15
2624,38361,40
2624,38518,40
2624,40001,262.73
2624,40027,40
2624,40691,2.02
2624,40837,40
2624,41300,28
2624,41527,18
2624,42308,40
2624,43428,40
2624,43520,27
2624,43554,28
2624,44274,28
2624,44345,18
2624,44783,18
2624,45387,28
2624,45638,18
2624,45695,40
2624,45850,16
2624,46028,16
2624,47245,18
2624,47756,18
2624,48101,18
2624,48875,18
2624,49032,17.89361702
2624,49082,18
2624,49405,18
2624,49712,18
2624,50319,18
2624,50554,4.95
2624,50872,35
2624,51352,40
2624,51518,18
2624,52217,28
2624,52805,6
2624,53323,28
2624,53606,23.475
2624,54145,18
2624,55344,28
2624,55916,18
2624,56346,18
2624,56739,18
2624,57671,17.89361702
2624,57953,40
2624,58128,40
2624,58677,17.89361702
2624,58791,15.5625
2624,59302,18
2624,60511,40
2624,60794,40
2624,61479,28
2624,61882,18
2624,62298,40
2624,62812,18
2624,63056,18
2624,63978,40
2624,66257,18
2624,66637,18
2624,66658,17.89361702
2624,66778,18
2624,67133,17.89361702
2624,67755,40
2624,68526,28
2624,68633,18
2624,69392,17.89361702
2624,69797,28
2624,69821,18
2624,70020,18
2624,70035,17.89361702
2624,70713,28
2624,70871,18
2624,71140,18
2624,71520,18
2624,71732,18
2624,72033,18
2624,72046,40
2624,72117,145
2624,72167,40
2624,72257,40
2624,73445,18
2624,73807,17.89361702
2624,73815,18
2624,74230,15
2624,74495,40
2624,74626,40
2624,75969,18
2624,76658,17.89361702
2624,77138,18
2624,77260,28
2624,77420,18
2624,77621,18
2624,77919,17.89361702
2624,78337,4.95
2624,78667,15
2624,78719,18
2624,79227,18
2624,79615,40
2624,79795,18
2624,79840,18
2624,79953,40
2624,80344,40
2624,80734,17.89361702
2624,81131,18
2624,81263,18
2624,81290,40
2624,81466,18
2624,81955,18
2624,82240,18
2624,82418,17.89361702
2624,82780,18
2624,83563,15
2624,83968,18
2624,84403,17.89361702
2624,84542,28
2624,84608,18
2624,84878,18
2624,85069,18
2624,85147,15
2624,85300,18
2624,85604,18
2624,85617,18
2624,85657,18
2624,86400,17.89361702
2624,86724,17.89361702
2624,86948,18
2624,87129,18
2624,87186,18
2624,87730,18
2624,88134,10
2624,88604,18
2624,88620,17.89361702
2624,88986,18
2624,89423,18
2624,89538,18
2624,89960,28
2624,90102,18
2624,90694,40
2624,90923,18
2624,91021,15
2624,91220,17.89361702
2624,91365,18
2624,91467,17.89361702
2624,92298,17.89361702
2624,92912,40
2624,93045,17.89361702
2624,93151,17.89361702
2624,93640,28
2624,94241,18
2624,95114,18
2624,95340,18
2624,95499,15
2624,96345,18
2624,96790,28
2624,96859,18
2624,97634,17.89361702
2624,98250,18
2624,99871,17.89361702
2624,100055,18
2624,100254,18
2624,100916,17.89361702
2624,100937,15
2624,101106,17.89361702
2624,101796,17.89361702
2624,101819,18
2624,102521,4
2624,102628,28
2624,102776,18
2624,103031,18
2624,103055,1
2624,103080,28
2624,103475,18
2624,103594,17.89361702
2624,104198,28
2624,105219,17.89361702
2624,105648,40
2624,105671,18
2624,105955,15
2624,106116,18
2624,106358,15
2624,106830,40
2624,106843,18
2624,107248,18
2624,107819,18
2624,108238,17.89361702
2624,108343,40
2624,108477,4.95
2624,108804,18
2624,109894,28
2624,110028,16
2624,110831,17.89361702
2624,111279,18
2624,112474,18
2624,113281,17.89361702
2624,113437,17.89361702
2624,114586,200
2624,115286,40
2624,115451,18
2624,116300,40
2624,116826,18
2624,116930,40
2624,117432,18
2624,117462,18
2624,117685,17.89361702
2624,117740,17.89361702
2624,118109,18
2624,118293,17.89361702
2624,118373,18
2624,118624,40
2624,118785,18
2624,118938,18
2624,119029,17.89361702
2624,119852,40
2624,119898,240
2624,120147,40
2624,120315,2.02
2624,120669,18
2624,120829,15
2624,120889,18
2624,120966,17.89361702
2624,121326,18
2624,121554,40
2624,121702,17.89361702
2624,121970,17.89361702
2140,58695,3949.32
2140,74488,320.69
2140,20009,45.57
2140,7731,1687.17
2140,92008,1687.17
2140,75798,1136.3
2140,102940,1241.98
2140,19420,1687.17
2140,54883,9.95
2140,42429,15
